volume,plate,ia_id,leaf,gould_latin,gould_english,tier,birdnet_sci,birdnet_common,in_havell,in_gould_europe,note
I,28,BirdsAsiaJohnGoIGoul,136,Cecropis Daurica,Daurian Mosque-Swallow,exact,Cecropis daurica,Red-rumped Swallow,,y,
I,29,BirdsAsiaJohnGoIGoul,140,Cecropis erythropygia,Indian Mosque-Swallow,form,Cecropis daurica,Red-rumped Swallow,,y,
I,30,BirdsAsiaJohnGoIGoul,144,Cecropis hyperythra,Ceylonese Mosque-Swallow,not_in_birdnet,,,,,
I,31,BirdsAsiaJohnGoIGoul,148,Delichon Nipalensis,Nepal Martin-Swallow,not_in_birdnet,,,,,
I,32,BirdsAsiaJohnGoIGoul,152,Hypurolepis domicola,Bungalow Swallow,not_in_birdnet,,,,,
I,33,BirdsAsiaJohnGoIGoul,156,Lagenoplastes fluvicola,Indian Cliff-Swallow,probable,Petrochelidon fluvicola,Streak-throated Swallow,,,
I,34,BirdsAsiaJohnGoIGoul,160,Merops quinticolor,Pirik Bee-eater,probable,Merops leschenaulti,Chestnut-headed Bee-eater,,,
I,35,BirdsAsiaJohnGoIGoul,164,Merops viridis,Hurrial Bee-eater,exact,Merops viridis,Blue-throated Bee-eater,,,
I,36,BirdsAsiaJohnGoIGoul,168,Merops Philippinus,Philippine Bee-eater,exact,Merops philippinus,Blue-tailed Bee-eater,,,
I,37,BirdsAsiaJohnGoIGoul,172,Nyctiornis Athertoni,Blue-throated Nyctiornis,probable,Nyctyornis athertoni,Blue-bearded Bee-eater,,,
I,38,BirdsAsiaJohnGoIGoul,176,Nyctiornis amictus,Red-throated Nyctiornis,probable,Nyctyornis amictus,Red-bearded Bee-eater,,,
I,39,BirdsAsiaJohnGoIGoul,180,Meropogon Forsteni,Forsten's Bee-eater,not_in_birdnet,,,,,
I,40,BirdsAsiaJohnGoIGoul,184,Actenoides Hombroni,Hombron's Kingfisher,not_in_birdnet,,,,,
I,41,BirdsAsiaJohnGoIGoul,188,Actenoides Lindsayi,Lindsay's Kingfisher,exact,Actenoides lindsayi,Spotted Kingfisher,,,
I,42,BirdsAsiaJohnGoIGoul,192,Actenoides concretus,Sumatra Kingfisher,exact,Actenoides concretus,Rufous-collared Kingfisher,,,
I,43,BirdsAsiaJohnGoIGoul,196,Halcyon fusca,Indian Kingfisher,form,Halcyon smyrnensis,White-throated Kingfisher,,,
I,44,BirdsAsiaJohnGoIGoul,200,Halcyon gularis,Manilla Kingfisher,exact,Halcyon gularis,Brown-breasted Kingfisher,,,
I,45,BirdsAsiaJohnGoIGoul,204,Halcyon atricapillus,Black-capped Kingfisher,probable,Halcyon pileata,Black-capped Kingfisher,,,
I,46,BirdsAsiaJohnGoIGoul,208,Halcyon fulgidus,Blue-and-white Kingfisher,not_in_birdnet,,,,,
I,47,BirdsAsiaJohnGoIGoul,212,Halcyon omnicolor,Many-coloured Kingfisher,form,Todiramphus chloris,Collared Kingfisher,,,
I,48,BirdsAsiaJohnGoIGoul,216,Carcineutes pulchellus,Banded Kingfisher,probable,Lacedo pulchella,Banded Kingfisher,,,
I,49,BirdsAsiaJohnGoIGoul,220,Carcineutes melanops,Black-faced Kingfisher,none,,,,,
I,50,BirdsAsiaJohnGoIGoul,224,Carcineutes amabilis,Tenasserim Kingfisher,form,Lacedo pulchella,Banded Kingfisher,,,
I,51,BirdsAsiaJohnGoIGoul,228,Dacelo Tyro,Mantled Kingfisher,unsure,Tanysiptera sylvia,Buff-breasted Paradise-Kingfisher,,,
I,52,BirdsAsiaJohnGoIGoul,232,Alcedo grandis,Great Alcedo,not_in_birdnet,,,,,
I,53,BirdsAsiaJohnGoIGoul,236,Alcedo Bengalensis,Indian Kingfisher,form,Alcedo atthis,Common Kingfisher,,y,
I,54,BirdsAsiaJohnGoIGoul,240,Coracias indica,Indian Roller,probable,Coracias benghalensis,Indian Roller,,,
I,55,BirdsAsiaJohnGoIGoul,244,Coracias affinis,Burmese Roller,not_in_birdnet,,,,,
I,56,BirdsAsiaJohnGoIGoul,248,Coracias Temmincki,Temminck's Roller,not_in_birdnet,,,,,
I,57,BirdsAsiaJohnGoIGoul,252,Eurylaimus Javanicus,Javan Eurylaime,exact,Eurylaimus javanicus,Banded Broadbill,,,
I,58,BirdsAsiaJohnGoIGoul,256,Eurylaimus ochromelas,Hooded Eurylaime,not_in_birdnet,,,,,
I,59,BirdsAsiaJohnGoIGoul,260,Cymbirhynchus macrorhynchus,Great-billed Eurylaime,probable,Cymbirhynchus macrorhynchos,Black-and-red Broadbill,,,
I,60,BirdsAsiaJohnGoIGoul,264,Cymbirhynchus affinis,Allied Eurylaime,form,Cymbirhynchus macrorhynchos,Black-and-red Broadbill,,,
I,61,BirdsAsiaJohnGoIGoul,268,Corydon Sumatranus,Great Eurylaime,exact,Corydon sumatranus,Dusky Broadbill,,,
I,62,BirdsAsiaJohnGoIGoul,272,Serilophus lunatus,Lunated Eurylaime,exact,Serilophus lunatus,Silver-breasted Broadbill,,,
I,63,BirdsAsiaJohnGoIGoul,276,Serilophus rubropygius,Red-backed EEurylaime,form,Serilophus lunatus,Silver-breasted Broadbill,,,
I,64,BirdsAsiaJohnGoIGoul,280,Psarisoinus Dalhousie,Dalhousie's Eurylaime,probable,Psarisomus dalhousiae,Long-tailed Broadbill,,,
I,65,BirdsAsiaJohnGoIGoul,284,Sarcophanops Steerii,Steere's Broadbill,not_in_birdnet,,,,,
I,66,BirdsAsiaJohnGoIGoul,288,Upupa nigripennis,Indian Hoopoe,form,Upupa epops,Eurasian Hoopoe,,y,
I,67,BirdsAsiaJohnGoIGoul,292,Harpactes Duvauceli,Duvaucel's Trogon,probable,Harpactes duvaucelii,Scarlet-rumped Trogon,,,
I,68,BirdsAsiaJohnGoIGoul,296,Harpactes rutilus,Malacca Trogon,form,Harpactes duvaucelii,Scarlet-rumped Trogon,,,
I,69,BirdsAsiaJohnGoIGoul,300,Harpactes Hodgsoni,Hodgson's Trogon,form,Harpactes erythrocephalus,Red-headed Trogon,,,
I,70,BirdsAsiaJohnGoIGoul,304,Harpactes Diardi,Diard's Trogon,probable,Harpactes diardii,Diard's Trogon,,,
I,71,BirdsAsiaJohnGoIGoul,308,Harpactes Oreskios,Mountain Trogon,exact,Harpactes oreskios,Orange-breasted Trogon,,,
I,72,BirdsAsiaJohnGoIGoul,312,Harpactes Reinwardti,Reinwardt's Trogon,not_in_birdnet,,,,,
I,73,BirdsAsiaJohnGoIGoul,316,Harpactes Mackloti,Macklot's Trogon,not_in_birdnet,,,,,
I,74,BirdsAsiaJohnGoIGoul,320,Harpactes Kasumba,Kasumba Trogon,exact,Harpactes kasumba,Red-naped Trogon,,,
I,75,BirdsAsiaJohnGoIGoul,324,Harpactes fasciatus,Fasciated Trogon,exact,Harpactes fasciatus,Malabar Trogon,,,
I,76,BirdsAsiaJohnGoIGoul,328,Harpactes ardens,Rosy-breasted Trogon,exact,Harpactes ardens,Philippine Trogon,,,
II,1,BirdsAsiaJohnGoIIGoul,12,Cochoa viridis,Green Cochoa,exact,Cochoa viridis,Green Cochoa,,,
II,2,BirdsAsiaJohnGoIIGoul,16,Cochoa purpurea,Purple Cochoa,none,,,,,
II,3,BirdsAsiaJohnGoIIGoul,20,Pericrocotus griseogularis,Grey-throated Pericrocotus,form,Pericrocotus solaris,Gray-chinned Minivet,,,
II,4,BirdsAsiaJohnGoIIGoul,24,Pericrocotus cantonensis,Canton Pericrocotus,exact,Pericrocotus cantonensis,Brown-rumped Minivet,,,
II,5,BirdsAsiaJohnGoIIGoul,28,Pericrocotus solaris,Yellow-throated Pericrocotus,exact,Pericrocotus solaris,Gray-chinned Minivet,,,
II,6,BirdsAsiaJohnGoIIGoul,32,Pericrocotus erythropygius,Cawnpore Pericrocotus,exact,Pericrocotus erythropygius,White-bellied Minivet,,,
II,7,BirdsAsiaJohnGoIIGoul,36,Pericrocotus speciosus,Great Pericrocotus,exact,Pericrocotus speciosus,Scarlet Minivet,,,
II,8,BirdsAsiaJohnGoIIGoul,40,Pericrocotus flammeus,Orange Pericrocotus,exact,Pericrocotus flammeus,Orange Minivet,,,
II,9,BirdsAsiaJohnGoIIGoul,44,Pericrocotus peregrinus,Little Pericrocotus,probable,Pericrocotus cinnamomeus,Small Minivet,,,
II,10,BirdsAsiaJohnGoIIGoul,48,Pericrocotus roseus,Rosy Pericrocotus,not_in_birdnet,,,,,
II,11,BirdsAsiaJohnGoIIGoul,52,Pericrocotus cinereus,Grey Pericrocotus,probable,Pericrocotus divaricatus,Ashy Minivet,,,
II,12,BirdsAsiaJohnGoIIGoul,56,Hylopterpe philippinensis,Philippine-Island Thickhead,probable,Pachycephala philippinensis,Yellow-bellied Whistler,,,
II,13,BirdsAsiaJohnGoIIGoul,60,Pteruthius eralatus,Grey-headed Pteruthius,probable,Pteruthius aeralatus,Blyth's Shrike-Babbler,,,
II,14,BirdsAsiaJohnGoIIGoul,64,Pteruthius erythropterus,Himalayan Pteruthius,form,Pteruthius aeralatus,Blyth's Shrike-Babbler,,,
II,15,BirdsAsiaJohnGoIIGoul,68,Pteruthius rufiventer,Rufous-bellied Pteruthius,exact,Pteruthius rufiventer,Black-headed Shrike-Babbler,,,
II,16,BirdsAsiaJohnGoIIGoul,72,Allotrius melanotis,Black-eared Allotrius,probable,Pteruthius melanotis,Black-eared Shrike-Babbler,,,
II,17,BirdsAsiaJohnGoIIGoul,76,Allotrius xanthochloris,Yellow-green Allotrius,probable,Pteruthius xanthochlorus,Green Shrike-Babbler,,,
II,18,BirdsAsiaJohnGoIIGoul,80,Muscipeta Paradisi,Paradise Flycatcher,probable,Terpsiphone paradisi,Indian Paradise-Flycatcher,,,
II,19,BirdsAsiaJohnGoIIGoul,84,Muscipeta Incei,Ince's Paradise Flycatcher,probable,Terpsiphone incei,Amur Paradise-Flycatcher,,,
II,20,BirdsAsiaJohnGoIIGoul,88,Niltava grandis,Grand Niltava,exact,Niltava grandis,Large Niltava,,,
II,21,BirdsAsiaJohnGoIIGoul,92,Niltava Sundara,Sundara Niltava,exact,Niltava sundara,Rufous-bellied Niltava,,,
II,22,BirdsAsiaJohnGoIIGoul,96,Niltava MacGregoriae,MacGregor's Niltava,probable,Niltava macgrigoriae,Small Niltava,,,
II,23,BirdsAsiaJohnGoIIGoul,100,Nectarinia Osea,Jericho Sun-bird,probable,Cinnyris osea,Palestine Sunbird,,,
II,24,BirdsAsiaJohnGoIIGoul,104,Nectarinia Zelonica,Ceylonese Sun-bird,probable,Leptocoma zeylonica,Purple-rumped Sunbird,,,
II,25,BirdsAsiaJohnGoIIGoul,108,Nectarinia insignis,Penang Sun-bird,form,Aethopyga siparaja,Crimson Sunbird,,,
II,26,BirdsAsiaJohnGoIIGoul,112,Nectarinia Gouldiae,Mrs. Gould's Sun-bird,probable,Aethopyga gouldiae,Mrs. Gould's Sunbird,,,
II,27,BirdsAsiaJohnGoIIGoul,116,Nectarinia saturata,Black-breasted Sun-bird,probable,Aethopyga saturata,Black-throated Sunbird,,,
II,28,BirdsAsiaJohnGoIIGoul,120,Nectarinia ignicauda,Fiery-tailed Sun-bird,probable,Aethopyga ignicauda,Fire-tailed Sunbird,,,
II,29,BirdsAsiaJohnGoIIGoul,124,Nectarinia Goalpariensis,Goulpourah Sun-bird,form,Aethopyga siparaja,Crimson Sunbird,,,
II,30,BirdsAsiaJohnGoIIGoul,128,Nectarinia Vigorsii,Vigors' Sun-bird,probable,Aethopyga vigorsii,Vigors's Sunbird,,,
II,31,BirdsAsiaJohnGoIIGoul,132,Nectarinia Nipalensis,Nepaulese Sun-bird,probable,Aethopyga nipalensis,Green-tailed Sunbird,,,
II,32,BirdsAsiaJohnGoIIGoul,136,Nectarinia Asiatica,Asiatic Sun-bird,probable,Cinnyris asiaticus,Purple Sunbird,,,
II,33,BirdsAsiaJohnGoIIGoul,140,Nectarinia Lotenia,Loten's Sun-bird,probable,Cinnyris lotenius,Loten's Sunbird,,,
II,34,BirdsAsiaJohnGoIIGoul,144,Zosterops simplex,Plain Zosterops,exact,Zosterops simplex,Swinhoe's White-eye,,,
II,35,BirdsAsiaJohnGoIIGoul,148,Zosterops erythropleura,Chestnut-sided Zosterops,probable,Zosterops erythropleurus,Chestnut-flanked White-eye,,,
II,36,BirdsAsiaJohnGoIIGoul,152,Diceum retrocinctum,Red-collared Diceum,none,,,,,
II,37,BirdsAsiaJohnGoIIGoul,156,Diceum dorsale,Yellow-throated Diceum,none,,,,,
II,38,BirdsAsiaJohnGoIIGoul,160,Diceum cruentum,Red-backed Dicaeum,probable,Dicaeum cruentatum,Scarlet-backed Flowerpecker,,,
II,39,BirdsAsiaJohnGoIIGoul,164,Diceum Pryeri,Pryer's Dicaeum,none,,,,,
II,40,BirdsAsiaJohnGoIIGoul,168,Myzanthe ignipectus,Fire-breasted Myzanthe,probable,Dicaeum ignipectus,Fire-breasted Flowerpecker,,,
II,41,BirdsAsiaJohnGoIIGoul,172,Prionochilus vincens,Legge's Flower-pecker,not_in_birdnet,,,,,
II,42,BirdsAsiaJohnGoIIGoul,176,Sitta nagaensis,Naga Nuthatch,exact,Sitta nagaensis,Chestnut-vented Nuthatch,,,
II,43,BirdsAsiaJohnGoIIGoul,180,Sitta formosa,Beautiful Nuthatch,not_in_birdnet,,,,,
II,44,BirdsAsiaJohnGoIIGoul,184,Sitta cinnamomeoventris,Cinnamon-bellied Nuthatch,probable,Sitta cinnamoventris,Chestnut-bellied Nuthatch,,,
II,45,BirdsAsiaJohnGoIIGoul,188,Sitta castaneoventris,Chestnut-bellied Nuthatch,not_in_birdnet,,,,,
II,46,BirdsAsiaJohnGoIIGoul,192,Sitta leucopsis,White-faced Nuthatch,not_in_birdnet,,,,,
II,47,BirdsAsiaJohnGoIIGoul,196,Sitta Himalayensis,Himalayan Nuthatch,exact,Sitta himalayensis,White-tailed Nuthatch,,,
II,48,BirdsAsiaJohnGoIIGoul,200,Parus venustulus,White-naped Tit,probable,Periparus venustulus,Yellow-bellied Tit,,,
II,49,BirdsAsiaJohnGoIIGoul,204,Parus castaneoventris,Chestnut-bellied Tit,probable,Sittiparus castaneoventris,Chestnut-bellied Tit,,,
II,50,BirdsAsiaJohnGoIIGoul,208,Parus elegans,Elegant Tit,probable,Periparus elegans,Elegant Tit,,,
II,51,BirdsAsiaJohnGoIIGoul,212,Melanochlora Sultanea,Sultan Tit,exact,Melanochlora sultanea,Sultan Tit,,,
II,52,BirdsAsiaJohnGoIIGoul,216,Parus xanthogenys,Yellow-cheeked Tit,probable,Machlolophus xanthogenys,Himalayan Black-lored Tit,,,
II,53,BirdsAsiaJohnGoIIGoul,220,Parus Spilonotus,Spotted Tit,probable,Machlolophus spilonotus,Yellow-cheeked Tit,,,
II,54,BirdsAsiaJohnGoIIGoul,224,Parus Jerdoni,Jerdon's Tit,form,Machlolophus xanthogenys,Himalayan Black-lored Tit,,,
II,55,BirdsAsiaJohnGoIIGoul,228,Parus cinereus,Ash-coloured Tit,exact,Parus cinereus,Cinereous Tit,,,
II,56,BirdsAsiaJohnGoIIGoul,232,Parus minor,Chinese Tit,exact,Parus minor,Japanese Tit,,,
II,57,BirdsAsiaJohnGoIIGoul,236,Parus monticolus,Mountain-Tit,exact,Parus monticolus,Green-backed Tit,,,
II,58,BirdsAsiaJohnGoIIGoul,240,Parus dichrous,Grey Tit,probable,Lophophanes dichrous,Gray-crested Tit,,,
II,59,BirdsAsiaJohnGoIIGoul,244,Parus rubidiventris,Rufous-bellied Tit,probable,Periparus rubidiventris,Rufous-vented Tit,,,
II,60,BirdsAsiaJohnGoIIGoul,248,Parus rufonuchalis,Rufous-naped Tit,probable,Periparus rufonuchalis,Rufous-naped Tit,,,
II,61,BirdsAsiaJohnGoIIGoul,252,Parus melanolophus,Black-crested Tit,form,Periparus ater,Coal Tit,,y,
II,62,BirdsAsiaJohnGoIIGoul,256,Leptopoecile Sophiae,Yarkand Tit,exact,Leptopoecile sophiae,White-browed Tit-Warbler,,,
II,63,BirdsAsiaJohnGoIIGoul,260,Psaltria exilis,Exile Tit,not_in_birdnet,,,,,
II,64,BirdsAsiaJohnGoIIGoul,264,Psaltria erythrocephala,Red-headed Tit,form,Aegithalos concinnus,Black-throated Tit,,,
II,65,BirdsAsiaJohnGoIIGoul,268,Psaltria concinna,Elegant Tit,probable,Aegithalos concinnus,Black-throated Tit,,,
II,66,BirdsAsiaJohnGoIIGoul,272,Psaltria leucogenys,Afghan Tit,not_in_birdnet,,,,,
II,67,BirdsAsiaJohnGoIIGoul,276,Acanthiparus niveogularis,White-throated Tit,probable,Aegithalos niveogularis,White-throated Tit,,,
II,68,BirdsAsiaJohnGoIIGoul,280,Acanthiparus Jouschistos,Chestnut-breasted Tit,probable,Aegithalos iouschistos,Black-browed Tit,,,
II,69,BirdsAsiaJohnGoIIGoul,284,Mecistura glaucogularis,Silvery-throated Tit,probable,Aegithalos glaucogularis,Silver-throated Tit,,,
II,70,BirdsAsiaJohnGoIIGoul,288,Aigithalus consobrinus,Chinese Penduline Tit,probable,Remiz consobrinus,Chinese Penduline-Tit,,,
II,71,BirdsAsiaJohnGoIIGoul,292,Aigithalus flammiceps,Flame-fronted Flower-pecker,not_in_birdnet,,,,,
II,72,BirdsAsiaJohnGoIIGoul,296,Oriolus chinensis,Philippine Oriole,exact,Oriolus chinensis,Black-naped Oriole,,,
II,73,BirdsAsiaJohnGoIIGoul,300,Oriolus Broderipi,Broderip's Oriole,none,,,,,
II,74,BirdsAsiaJohnGoIIGoul,304,Psaropholus Trailli,Maroon Oriole,probable,Oriolus traillii,Maroon Oriole,,,
II,75,BirdsAsiaJohnGoIIGoul,308,Psaropholus ardens,Red Oriole,unsure,Oriolus cruentus,Black-and-crimson Oriole,,,
III,1,BirdsAsiaJohnGoIIIGoul,12,Turdus fuscatus,Clouded Thrush,probable,Turdus eunomus,Dusky Thrush,,,
III,2,BirdsAsiaJohnGoIIIGoul,16,Turdus ruficollis,Red-throated Thrush,exact,Turdus ruficollis,Red-throated Thrush,,,
III,3,BirdsAsiaJohnGoIIIGoul,20,Turdus Gouldi,Gould's Thrush,none,,,,,
III,4,BirdsAsiaJohnGoIIIGoul,24,Merula unicolor,Affghan Thrush,probable,Turdus unicolor,Tickell's Thrush,,,
III,5,BirdsAsiaJohnGoIIIGoul,28,Merula castanea,Chestnut-coloured Merula,form,Turdus rubrocanus,Chestnut Thrush,,,
III,6,BirdsAsiaJohnGoIIIGoul,32,Merula albocincta,White-collared Merula,probable,Turdus albocinctus,White-collared Blackbird,,,
III,7,BirdsAsiaJohnGoIIIGoul,36,Merula Boulboul,Grey-winged Merula,probable,Turdus boulboul,Gray-winged Blackbird,,,
III,8,BirdsAsiaJohnGoIIIGoul,40,Petrocincla erythrogastra,Chestnut-bellied Rock-Thrush,probable,Monticola rufiventris,Chestnut-bellied Rock-Thrush,,,
III,9,BirdsAsiaJohnGoIIIGoul,44,Spizixos canifrons,Crested Spizixos,exact,Spizixos canifrons,Crested Finchbill,,,
III,10,BirdsAsiaJohnGoIIIGoul,48,Spizixos semitorques,Chinese Spizixos,exact,Spizixos semitorques,Collared Finchbill,,,
III,11,BirdsAsiaJohnGoIIIGoul,52,Ixus sinensis,Chinese Bulbul,probable,Pycnonotus sinensis,Light-vented Bulbul,,,
III,12,BirdsAsiaJohnGoIIIGoul,56,Hypsipetes nigerrima,Formosan Hypsipetes,form,Hypsipetes leucocephalus,Black Bulbul,,,
III,13,BirdsAsiaJohnGoIIIGoul,60,Phyllornis Javensis,Javanese Phyllornis,none,,,,,
III,14,BirdsAsiaJohnGoIIIGoul,64,Phyllornis Hardwicki,Hardwick's Phyllornis,probable,Chloropsis hardwickii,Orange-bellied Leafbird,,,
III,15,BirdsAsiaJohnGoIIIGoul,68,Phyllornis Hodgsoni,Hodgson's Phyllornis,none,,,,,
III,16,BirdsAsiaJohnGoIIIGoul,72,Phyllornis Malabaricus,Malabar Phyllornis,unsure,Chloropsis jerdoni,Jerdon's Leafbird,,,
III,17,BirdsAsiaJohnGoIIIGoul,76,Phyllornis Jerdoni,Jerdon's Phyllornis,probable,Chloropsis jerdoni,Jerdon's Leafbird,,,
III,18,BirdsAsiaJohnGoIIIGoul,80,Phyllornis cyanopogon,All-green Phyllornis,probable,Chloropsis cyanopogon,Lesser Green Leafbird,,,
III,19,BirdsAsiaJohnGoIIIGoul,84,Irena cyanea,Malayan Fairy Bluebird,none,,,,,
III,20,BirdsAsiaJohnGoIIIGoul,88,Irena criniger,Bornean Fairy Bluebird,none,,,,,
III,21,BirdsAsiaJohnGoIIIGoul,92,Irena puella,Indian Fairy Bluebird,exact,Irena puella,Asian Fairy-bluebird,,,
III,22,BirdsAsiaJohnGoIIIGoul,96,Irena cyanogastra,Blue-mantled Fairy Bluebird,exact,Irena cyanogastra,Philippine Fairy-bluebird,,,
III,23,BirdsAsiaJohnGoIIIGoul,100,Irena melanochlamys,Black-mantled Fairy Bluebird,none,,,,,
III,24,BirdsAsiaJohnGoIIIGoul,104,Copsychus saularis,Dial Bird,exact,Copsychus saularis,Oriental Magpie-Robin,,,
III,25,BirdsAsiaJohnGoIIIGoul,108,Copsychus Mindanensis,Malaccan Dial Bird,exact,Copsychus mindanensis,Philippine Magpie-Robin,,,
III,26,BirdsAsiaJohnGoIIIGoul,112,Copsychus suavis,Chestnut-bellied Dial Bird,form,Copsychus malabaricus,White-rumped Shama,,,
III,27,BirdsAsiaJohnGoIIIGoul,116,Myiophoneus Blighi,Bligh's Whistling Thrush,not_in_birdnet,,,,,
III,28,BirdsAsiaJohnGoIIIGoul,120,Myiophoneus insularis,Formosan Whistling Thrush,probable,Myophonus insularis,Taiwan Whistling-Thrush,,,
III,29,BirdsAsiaJohnGoIIIGoul,124,Callene albiventris,White-bellied Callene,probable,Sholicola albiventris,White-bellied Sholakili,,,
III,30,BirdsAsiaJohnGoIIIGoul,128,Leioptila annectens,Slender-billed Chat-Thrush,exact,Leioptila annectens,Rufous-backed Sibia,,,
III,31,BirdsAsiaJohnGoIIIGoul,132,Conostoma emodium,Himalayan Conostoma,probable,Conostoma aemodium,Great Parrotbill,,,
III,32,BirdsAsiaJohnGoIIIGoul,136,Sibia melanoleuca,Black-and-white Sibia,probable,Heterophasia melanoleuca,Black-backed Sibia,,,
III,33,BirdsAsiaJohnGoIIIGoul,140,Pomatorhinus erythrocnemis,Red-kneed Pomatorhinus,probable,Erythrogenys erythrocnemis,Black-necklaced Scimitar-Babbler,,,
III,34,BirdsAsiaJohnGoIIIGoul,144,Xiphoramphus superciliaris,Scimitar-bill,probable,Pomatorhinus superciliaris,Slender-billed Scimitar-Babbler,,,
III,35,BirdsAsiaJohnGoIIIGoul,148,Trochalopteron phoeniceum,Crimson-winged Trochalopteron,not_in_birdnet,,,,,
III,36,BirdsAsiaJohnGoIIIGoul,152,Trochalopteron formosum,Beautiful Trochalopteron,not_in_birdnet,,,,,
III,37,BirdsAsiaJohnGoIIIGoul,156,Trochalopteron affine,Allied Thrush,exact,Trochalopteron affine,Black-faced Laughingthrush,,,
III,38,BirdsAsiaJohnGoIIIGoul,160,Trochalopteron variegatum,Variegated Thrush,exact,Trochalopteron variegatum,Variegated Laughingthrush,,,
III,39,BirdsAsiaJohnGoIIIGoul,164,Trochalopteron cineraceum,Cinereous Trochalopteron,none,,,,,
III,40,BirdsAsiaJohnGoIIIGoul,168,Trochalopteron virgatum,White-eyebrowed Trochalopteron,exact,Trochalopteron virgatum,Striped Laughingthrush,,,
III,41,BirdsAsiaJohnGoIIIGoul,172,Trochalopteron Blythii,Blyth's Laughing Thrush,none,,,,,
III,42,BirdsAsiaJohnGoIIIGoul,176,Trochalopteron Elliotii,Elliot's Trochalopteron,exact,Trochalopteron elliotii,Elliot's Laughingthrush,,,
III,43,BirdsAsiaJohnGoIIIGoul,180,Trochalopteron melanostigma,Tickell's Laughing Thrush,exact,Trochalopteron melanostigma,Silver-eared Laughingthrush,,,
III,44,BirdsAsiaJohnGoIIIGoul,184,Ianthocincla ocellata,Ocellated Ianthocincla,exact,Ianthocincla ocellata,Spotted Laughingthrush,,,
