volume,plate,ia_id,leaf,latin,authority,english,modern,birdnet_sci,birdnet_common,tier,confidence,in_birdnet,in_havell,in_gould_europe,note
II,1,birdsAustraliav2Goul,12,Aegotheles Novae-Hollandiae,,Owlet Nightjar,Aegotheles cristatus,Aegotheles cristatus,Australian Owlet-nightjar,manual,high,yes,,,
II,2,birdsAustraliav2Goul,16,Aegotheles leucogaster,Gould,White-bellied Owlet Nightjar,Aegotheles cristatus,Aegotheles cristatus,Australian Owlet-nightjar,manual,medium,yes,,,
II,3,birdsAustraliav2Goul,20,Podargus humeralis,Vig. & Horsf,Tawny-shouldered Podargus,Podargus strigoides,Podargus strigoides,Tawny Frogmouth,manual,high,yes,,,
II,4,birdsAustraliav2Goul,24,Podargus Cuvieri,Vig. & Horsf,Cuvier’s Podargus,Podargus strigoides,Podargus strigoides,Tawny Frogmouth,manual,high,yes,,,
II,5,birdsAustraliav2Goul,28,Podargus Phalaenoides,Gould,Moth-plumaged Podargus,Podargus strigoides,Podargus strigoides,Tawny Frogmouth,manual,high,yes,,,
II,6,birdsAustraliav2Goul,32,Podargus plumiferus,Gould,Plumed Podargus,Podargus ocellatus,Podargus ocellatus,Marbled Frogmouth,manual,high,yes,,,
II,7,birdsAustraliav2Goul,36,Eurostopodus albogularis,,White-throated Goat-sucker,Eurostopodus mystacalis,Eurostopodus mystacalis,White-throated Nightjar,manual,high,yes,,,
II,8,birdsAustraliav2Goul,40,Eurostopodus guttatus,,Spotted Goat-sucker,Eurostopodus argus,Eurostopodus argus,Spotted Nightjar,manual,high,yes,,,
II,9,birdsAustraliav2Goul,44,Caprimulgus macrurus,Horsf,Large-tailed Goat-sucker,Caprimulgus macrurus,Caprimulgus macrurus,Large-tailed Nightjar,exact,high,yes,,,
II,10,birdsAustraliav2Goul,48,Acanthylis caudacuta,,Australian Spine-tailed Swallow,Hirundapus caudacutus,Hirundapus caudacutus,White-throated Needletail,manual,high,yes,,,
II,11,birdsAustraliav2Goul,52,Cypselus Australis,Gould,Australian Swift,Apus pacificus,Apus pacificus,Pacific Swift,manual,high,yes,,,
II,12,birdsAustraliav2Goul,56,Atticora leucosternon,Gould,White-breasted Swallow,Cheramoeca leucosterna,,,manual,high,no,,,
II,13,birdsAustraliav2Goul,60,Hirundo neoxena,Gould,Welcome Swallow,Hirundo neoxena,Hirundo neoxena,Welcome Swallow,exact,high,yes,,,
II,14,birdsAustraliav2Goul,64,Collocalia arborea,,Tree Martin,Petrochelidon nigricans,Petrochelidon nigricans,Tree Martin,common-name,high,yes,,,
II,15,birdsAustraliav2Goul,68,Collocalia Ariel,Gould,Fairy Martin,Petrochelidon ariel,Petrochelidon ariel,Fairy Martin,common-name,high,yes,,,
II,16,birdsAustraliav2Goul,72,Merops ornatus,Lath,Australian Bee-eater,Merops ornatus,Merops ornatus,Rainbow Bee-eater,exact,high,yes,,,
II,17,birdsAustraliav2Goul,76,Eurystomus Australis,Swains,Australian Roller,Eurystomus orientalis,Eurystomus orientalis,Dollarbird,manual,high,yes,,,
II,18,birdsAustraliav2Goul,80,Dacelo gigantea,,Great Brown Kingfisher,Dacelo novaeguineae,Dacelo novaeguineae,Laughing Kookaburra,manual,high,yes,,,
II,19,birdsAustraliav2Goul,84,Dacelo Leachii,Vig. & Horsf,Leach’s Kingfisher,Dacelo leachii,Dacelo leachii,Blue-winged Kookaburra,exact,high,yes,,,
II,20,birdsAustraliav2Goul,88,Dacelo cervina,Gould,Fawn-breasted Kingfisher,Dacelo leachii,Dacelo leachii,Blue-winged Kookaburra,manual,medium,yes,,,
II,21,birdsAustraliav2Goul,92,Halcyon sanctus,Vig. & Horsf,Sacred Halcyon,Todiramphus sanctus,Todiramphus sanctus,Sacred Kingfisher,epithet+noun,medium,yes,,,
II,22,birdsAustraliav2Goul,96,Halcyon pyrrhopygia,Gould,Red-backed Halcyon,Todiramphus pyrrhopygius,,,manual,high,no,,,
II,23,birdsAustraliav2Goul,100,Halcyon sordidus,Gould,Sordid Halcyon,Todiramphus sordidus,Todiramphus sordidus,Torresian Kingfisher,manual,high,yes,,,
II,24,birdsAustraliav2Goul,104,Halcyon MacLeayii,Jard. & Selb,MacLeay’s Halcyon,Todiramphus macleayii,Todiramphus macleayii,Forest Kingfisher,epithet+noun,medium,yes,,,
II,25,birdsAustraliav2Goul,108,Alcyone azurea,,Azure Kingfisher,Ceyx azureus,Ceyx azureus,Azure Kingfisher,common-name,high,yes,,,
II,26,birdsAustraliav2Goul,112,Alcyone pusilla,,Little Kingfisher,Ceyx pusillus,,,manual,high,no,,,
II,27,birdsAustraliav2Goul,116,Artamus sordidus,,Wood Swallow,Artamus cyanopterus,Artamus cyanopterus,Dusky Woodswallow,manual,high,yes,,,
II,28,birdsAustraliav2Goul,120,Artamus minor,Vieill,Little Wood Swallow,Artamus minor,,,manual,high,no,,,
II,29,birdsAustraliav2Goul,124,Artamus cinereus,Vieill,Grey-breasted Wood Swallow,Artamus cinereus,Artamus cinereus,Black-faced Woodswallow,exact,high,yes,,,
II,30,birdsAustraliav2Goul,128,Artamus albiventris,Gould,White-vented Wood Swallow,Artamus cinereus,Artamus cinereus,Black-faced Woodswallow,manual,medium,yes,,,
II,31,birdsAustraliav2Goul,132,Artamus personatus,Gould,Masked Wood Swallow,Artamus personatus,Artamus personatus,Masked Woodswallow,exact,high,yes,,,
II,32,birdsAustraliav2Goul,136,Artamus superciliosus,Gould,White-eyebrowed Wood Swallow,Artamus superciliosus,Artamus superciliosus,White-browed Woodswallow,exact,high,yes,,,
II,33,birdsAustraliav2Goul,140,Artamus leucopygialis,Gould,White-rumped Wood Swallow,Artamus leucorynchus,Artamus leucorynchus,White-breasted Woodswallow,manual,high,yes,,,
II,34,birdsAustraliav2Goul,144,Dicaeum hirundinaceum,,Swallow Dicæum,Dicaeum hirundinaceum,Dicaeum hirundinaceum,Mistletoebird,exact,high,yes,,,
II,35,birdsAustraliav2Goul,148,Pardalotus punctatus,,Spotted Pardalote,Pardalotus punctatus,Pardalotus punctatus,Spotted Pardalote,exact,high,yes,,,
II,36,birdsAustraliav2Goul,152,Pardalotus rubricatus,Gould,Red-lored Pardalote,Pardalotus rubricatus,Pardalotus rubricatus,Red-browed Pardalote,exact,high,yes,,,
II,37,birdsAustraliav2Goul,156,Pardalotus quadragintus,Gould,Forty-spotted Pardalote,Pardalotus quadragintus,,,manual,high,no,,,
II,38,birdsAustraliav2Goul,160,Pardalotus striatus,,Striated Pardalote,Pardalotus striatus,Pardalotus striatus,Striated Pardalote,exact,high,yes,,,
II,39,birdsAustraliav2Goul,164,Pardalotus affinis,Gould,Allied Pardalote,Pardalotus striatus,Pardalotus striatus,Striated Pardalote,manual,high,yes,,,
II,40,birdsAustraliav2Goul,168,Pardalotus melanocephalus,Gould,Black-headed Pardalote,Pardalotus striatus,Pardalotus striatus,Striated Pardalote,manual,high,yes,,,
II,41,birdsAustraliav2Goul,172,Pardalotus uropygialis,Gould,Yellow-rumped Pardalote,Pardalotus striatus,Pardalotus striatus,Striated Pardalote,manual,high,yes,,,
II,42,birdsAustraliav2Goul,176,Strepera graculina,,Great Crow-Shrike,Strepera graculina,Strepera graculina,Pied Currawong,exact,high,yes,,,
II,43,birdsAustraliav2Goul,180,Strepera fuliginosa,Gould,Sooty Crow-Shrike,Strepera fuliginosa,Strepera fuliginosa,Black Currawong,exact,high,yes,,,
II,44,birdsAustraliav2Goul,184,Strepera arguta,Gould,Hill Crow-Shrike,Strepera versicolor,Strepera versicolor,Gray Currawong,manual,high,yes,,,
II,45,birdsAustraliav2Goul,188,Strepera Anaphonensis,,Grey Crow-Shrike,Strepera versicolor,Strepera versicolor,Gray Currawong,manual,high,yes,,,
II,46,birdsAustraliav2Goul,192,Gymnorhina Tibicen,,Piping Crow-Shrike,Gymnorhina tibicen,Gymnorhina tibicen,Australian Magpie,exact,high,yes,,,
II,47,birdsAustraliav2Goul,196,Gymnorhina leuconota,Gould,White-backed Crow-Shrike,Gymnorhina tibicen,Gymnorhina tibicen,Australian Magpie,manual,high,yes,,,
II,48,birdsAustraliav2Goul,200,Gymnorhina organicum,Gould,Tasmanian Crow-Shrike,Gymnorhina tibicen,Gymnorhina tibicen,Australian Magpie,manual,high,yes,,,
II,49,birdsAustraliav2Goul,204,Cracticus nigrogularis,Gould,Black-throated Crow-Shrike,Cracticus nigrogularis,Cracticus nigrogularis,Pied Butcherbird,exact,high,yes,,,
II,50,birdsAustraliav2Goul,208,Cracticus picatus,Gould,Pied Crow-Shrike,Cracticus nigrogularis,Cracticus nigrogularis,Pied Butcherbird,manual,high,yes,,,
II,51,birdsAustraliav2Goul,212,Cracticus argenteus,Gould,Silvery-backed Butcher-Bird,Cracticus torquatus,Cracticus torquatus,Gray Butcherbird,manual,high,yes,,,
II,52,birdsAustraliav2Goul,216,Cracticus destructor,,Butcher-Bird,Cracticus torquatus,Cracticus torquatus,Gray Butcherbird,manual,high,yes,,,
II,53,birdsAustraliav2Goul,220,Cracticus Quoyii,,Quoy’s Crow-Shrike,Cracticus quoyi,Cracticus quoyi,Black Butcherbird,manual,high,yes,,,
II,54,birdsAustraliav2Goul,224,Grallina Australis,,Pied Grallina,Grallina cyanoleuca,Grallina cyanoleuca,Magpie-lark,manual,high,yes,,,
II,55,birdsAustraliav2Goul,228,Graucalus melanops,,Black-faced Graucalus,Coracina novaehollandiae,Coracina novaehollandiae,Black-faced Cuckooshrike,manual,high,yes,,,
II,56,birdsAustraliav2Goul,232,Graucalus mentalis,Vig. & Horsf,Varied Graucalus,,,,unresolved,,no,,,
II,57,birdsAustraliav2Goul,236,Graucalus hypoleucus,Gould,White-bellied Graucalus,Coracina papuensis,Coracina papuensis,White-bellied Cuckooshrike,manual,high,yes,,,
II,58,birdsAustraliav2Goul,240,Graucalus Swainsonii,Gould,Swainson’s Graucalus,,,,unresolved,,no,,,
II,59,birdsAustraliav2Goul,244,Pteropodocys Phasianella,Gould,Ground Graucalus,Coracina maxima,,,manual,high,no,,,
II,60,birdsAustraliav2Goul,248,Campephaga Jardinii,Gould,Jardine’s Campephaga,Edolisoma tenuirostre,Edolisoma tenuirostre,Common Cicadabird,manual,high,yes,,,
II,61,birdsAustraliav2Goul,252,Campephaga Karu,,Northern Campephaga,,,,unresolved,,no,,,
II,62,birdsAustraliav2Goul,256,Campephaga leucomela,Vig. & Horsf,Black and White Campephaga,Lalage leucomela,Lalage leucomela,Varied Triller,epithet+noun,medium,yes,,,
II,63,birdsAustraliav2Goul,260,Campephaga humeralis,Gould,White-shouldered Campephaga,Lalage tricolor,Lalage tricolor,White-winged Triller,manual,high,yes,,,
II,64,birdsAustraliav2Goul,264,Pachycephala gutturalis,,Guttural Pachycephala,Pachycephala pectoralis,Pachycephala pectoralis,Golden Whistler,manual,medium,yes,,,
II,65,birdsAustraliav2Goul,268,Pachycephala glaucura,Gould,Grey-tailed Pachycephala,Pachycephala pectoralis,Pachycephala pectoralis,Golden Whistler,manual,medium,yes,,,
II,66,birdsAustraliav2Goul,272,Pachycephala melanura,Gould,Black-tailed Pachycephala,Pachycephala melanura,,,manual,high,no,,,
II,67,birdsAustraliav2Goul,276,Pachycephala pectoralis,,Banded Thick-head,Pachycephala pectoralis,Pachycephala pectoralis,Golden Whistler,exact,high,yes,,,
II,68,birdsAustraliav2Goul,280,Pachycephala falcata,Gould,Lunated Pachycephala,,,,unresolved,,no,,,
II,69,birdsAustraliav2Goul,284,Pachycephala Lanoides,Gould,Shrike-like Pachycephala,Pachycephala lanioides,Pachycephala lanioides,White-breasted Whistler,manual,high,yes,,,
II,70,birdsAustraliav2Goul,288,Pachycephala rufogularis,Gould,Red-throated Pachycephala,Pachycephala rufogularis,,,manual,high,no,,,
II,71,birdsAustraliav2Goul,292,Pachycephala Gilbertii,Gould,Gilbert’s Pachycephala,Pachycephala inornata,Pachycephala inornata,Gilbert's Whistler,manual,high,yes,,,
II,72,birdsAustraliav2Goul,296,Pachycephala simplex,Gould,Plain-coloured Pachycephala,Pachycephala simplex,Pachycephala simplex,Gray Whistler,exact,high,yes,,,
II,73,birdsAustraliav2Goul,300,Pachycephala olivacea,Vig. & Horsf,Olivaceous Pachycephala,Pachycephala olivacea,Pachycephala olivacea,Olive Whistler,exact,high,yes,,,
II,74,birdsAustraliav2Goul,304,Colluricincla harmonica,,Harmonious Colluricincla,Colluricincla harmonica,Colluricincla harmonica,Gray Shrikethrush,exact,high,yes,,,
II,75,birdsAustraliav2Goul,308,Colluricincla rufiventris,Gould,Buff-bellied Colluricincla,Colluricincla harmonica,Colluricincla harmonica,Gray Shrikethrush,manual,high,yes,,,
II,76,birdsAustraliav2Goul,312,Colluricincla brunnea,Gould,Brown Colluricincla,,,,unresolved,,no,,,
II,77,birdsAustraliav2Goul,316,Colluricincla Selbii,Jard,Selby’s Colluricincla,,,,unresolved,,no,,,
II,78,birdsAustraliav2Goul,320,Colluricincla parvula,Gould,Little Colluricincla,Colluricincla megarhyncha,Colluricincla megarhyncha,Arafura Shrikethrush,manual,medium,yes,,,
II,79,birdsAustraliav2Goul,324,Falcunculus frontatus,,Frontal Shrike-Tit,Falcunculus frontatus,Falcunculus frontatus,Crested Shrike-tit,exact,high,yes,,,
II,80,birdsAustraliav2Goul,328,Falcunculus leucogaster,Gould,White-bellied Shrike-Tit,Falcunculus frontatus,Falcunculus frontatus,Crested Shrike-tit,manual,high,yes,,,
II,81,birdsAustraliav2Goul,332,Oreoica gutturalis,,Crested Oreoïca,Oreoica gutturalis,Oreoica gutturalis,Crested Bellbird,exact,high,yes,,,
II,82,birdsAustraliav2Goul,336,Dicrurus bracteatus,Gould,Spangled Drongo,Dicrurus bracteatus,Dicrurus bracteatus,Spangled Drongo,exact,high,yes,,,
II,83,birdsAustraliav2Goul,340,Rhipidura albiscapa,Gould,White-shafted Fantail,Rhipidura albiscapa,Rhipidura albiscapa,Gray Fantail,exact,high,yes,,,
II,84,birdsAustraliav2Goul,344,Rhipidura rufifrons,,Rufous-fronted Fantail,Rhipidura rufifrons,Rhipidura rufifrons,Rufous Fantail,exact,high,yes,,,
II,85,birdsAustraliav2Goul,348,Rhipidura isura,Gould,Northern Fantail,Rhipidura rufiventris,Rhipidura rufiventris,Northern Fantail,common-name,high,yes,,,
II,86,birdsAustraliav2Goul,352,Rhipidura Motacilloides,Vig. & Horsf,Black Fantailed Flycatcher,Rhipidura leucophrys,Rhipidura leucophrys,Willie-wagtail,manual,high,yes,,,
II,87,birdsAustraliav2Goul,356,Seisura inquieta,,Restless Flycatcher,Myiagra inquieta,Myiagra inquieta,Restless Flycatcher,common-name,high,yes,,,
II,88,birdsAustraliav2Goul,360,Piezorhynchus nitidus,Gould,Blue Shining Flycatcher,Myiagra alecto,Myiagra alecto,Shining Flycatcher,manual,high,yes,,,
II,89,birdsAustraliav2Goul,364,Myiagra plumbea,Vig. & Horsf,Plumbeous Flycatcher,Myiagra rubecula,Myiagra rubecula,Leaden Flycatcher,manual,high,yes,,,
II,90,birdsAustraliav2Goul,368,Myiagra concinna,Gould,Pretty Flycatcher,Myiagra rubecula,Myiagra rubecula,Leaden Flycatcher,manual,medium,yes,,,
II,91,birdsAustraliav2Goul,372,Myiagra nitida,Gould,Shining Flycatcher,Myiagra alecto,Myiagra alecto,Shining Flycatcher,common-name,high,yes,,,
II,92,birdsAustraliav2Goul,376,Myiagra latirostris,Gould,Broad-billed Flycatcher,Myiagra ruficollis,Myiagra ruficollis,Broad-billed Flycatcher,common-name,high,yes,,,
II,93,birdsAustraliav2Goul,380,Microeca macroptera,,Great-winged Micrœca,Microeca fascinans,Microeca fascinans,Jacky-winter,manual,high,yes,,,
II,94,birdsAustraliav2Goul,384,Microeca flavigaster,Gould,Yellow-bellied Micrœca,Microeca flavigaster,Microeca flavigaster,Lemon-bellied Flycatcher,exact,high,yes,,,
II,95,birdsAustraliav2Goul,388,Monarcha carinata,,Carinated Flycatcher,Monarcha melanopsis,Monarcha melanopsis,Black-faced Monarch,manual,high,yes,,,
II,96,birdsAustraliav2Goul,392,Monarcha trivirgata,,Black-fronted Flycatcher,Symposiachrus trivirgatus,Symposiachrus trivirgatus,Spectacled Monarch,manual,high,yes,,,
II,97,birdsAustraliav2Goul,396,Gerygone albogularis,Gould,White-throated Gerygone,Gerygone olivacea,Gerygone olivacea,White-throated Gerygone,common-name,high,yes,,,
II,98,birdsAustraliav2Goul,400,Gerygone fuscus,Gould,Fuscous Gerygone,,,,unresolved,,no,,,
II,99,birdsAustraliav2Goul,404,Gerygone culicivorus,Gould,Western Gerygone,Gerygone fusca,Gerygone fusca,Western Gerygone,common-name,high,yes,,,
II,100,birdsAustraliav2Goul,408,Gerygone magnirostris,Gould,Great-billed Gerygone,Gerygone magnirostris,Gerygone magnirostris,Large-billed Gerygone,exact,high,yes,,,
II,101,birdsAustraliav2Goul,412,Gerygone laevigaster,Gould,Buff-breasted Gerygone,Gerygone levigaster,Gerygone levigaster,Mangrove Gerygone,manual,high,yes,,,
II,102,birdsAustraliav2Goul,416,Gerygone chloronotus,Gould,Green-backed Gerygone,Gerygone chloronota,Gerygone chloronota,Green-backed Gerygone,common-name,high,yes,,,
II,103,birdsAustraliav2Goul,420,Smicrornis brevirostris,Gould,Short-billed Smicrornis,Smicrornis brevirostris,Smicrornis brevirostris,Weebill,exact,high,yes,,,
II,104,birdsAustraliav2Goul,424,Smicrornis flavescens,Gould,Yellow-tinted Smicrornis,Smicrornis brevirostris,Smicrornis brevirostris,Weebill,manual,high,yes,,,
III,1,birdsAustraliav3Goul,12,Erythrodryas rhodinogaster,,Pink-breasted Wood-robin,Petroica rodinogaster,Petroica rodinogaster,Pink Robin,manual,high,yes,,,
III,2,birdsAustraliav3Goul,16,Erythrodryas rosea,Gould,Rose-breasted Wood-robin,Petroica rosea,Petroica rosea,Rose Robin,manual,high,yes,,,
III,3,birdsAustraliav3Goul,20,Petroica multicolor,,Scarlet-breasted Robin,Petroica boodang,Petroica boodang,Scarlet Robin,manual,high,yes,,,
III,4,birdsAustraliav3Goul,24,Petroica erythrogastra,,Norfolk Island Robin,Petroica multicolor,,,manual,high,no,,,
III,5,birdsAustraliav3Goul,28,Petroica Goodenovii,,Red-capped Robin,Petroica goodenovii,Petroica goodenovii,Red-capped Robin,exact,high,yes,,,
III,6,birdsAustraliav3Goul,32,Petroica phoenicea,Gould,Flame-breasted Robin,Petroica phoenicea,Petroica phoenicea,Flame Robin,exact,high,yes,,,
III,7,birdsAustraliav3Goul,36,Petroica bicolor,Swains,Pied Robin,Melanodryas cucullata,Melanodryas cucullata,Hooded Robin,manual,high,yes,,,
III,8,birdsAustraliav3Goul,40,Petroica fusca,Gould,Dusky Robin,Melanodryas vittata,Melanodryas vittata,Dusky Robin,common-name,high,yes,,,
III,9,birdsAustraliav3Goul,44,Petroica superciliosa,Gould,White-eyebrowed Robin,Poecilodryas superciliosa,,,manual,high,no,,,
III,10,birdsAustraliav3Goul,48,Drymodes brunneopygia,Gould,Scrub Robin,Drymodes brunneopygia,Drymodes brunneopygia,Southern Scrub-Robin,exact,high,yes,,,
III,11,birdsAustraliav3Goul,52,Eöpsaltria Australis,,Yellow-breasted Robin,Eopsaltria australis,Eopsaltria australis,Eastern Yellow Robin,manual,high,yes,,,
III,12,birdsAustraliav3Goul,56,Eöpsaltria griseogularis,Gould,Grey-breasted Robin,Eopsaltria griseogularis,,,manual,high,no,,,
III,13,birdsAustraliav3Goul,60,Eöpsaltria leucogaster,Gould,White-bellied Robin,Eopsaltria georgiana,,,manual,high,no,,,
III,14,birdsAustraliav3Goul,64,Menura superba,Dav,Lyre-Bird,Menura novaehollandiae,Menura novaehollandiae,Superb Lyrebird,manual,high,yes,,,
III,15,birdsAustraliav3Goul,68,Psophodes crepitans,,Coach-whip Bird,Psophodes olivaceus,Psophodes olivaceus,Eastern Whipbird,manual,high,yes,,,
III,16,birdsAustraliav3Goul,72,Psophodes nigrogularis,Gould,Black-throated Psophodes,Psophodes nigrogularis,Psophodes nigrogularis,Western Whipbird,exact,high,yes,,,
III,17,birdsAustraliav3Goul,76,Sphenostoma cristata,Gould,Crested Wedge-bill,Psophodes cristatus,Psophodes cristatus,Chirruping Wedgebill,manual,high,yes,,,
III,18,birdsAustraliav3Goul,80,Malurus cyaneus,,Blue Wren,Malurus cyaneus,Malurus cyaneus,Superb Fairywren,exact,high,yes,,,
III,19,birdsAustraliav3Goul,84,Malurus longicaudus,Gould,Long-tailed Wren,Malurus cyaneus,Malurus cyaneus,Superb Fairywren,manual,high,yes,,,
III,20,birdsAustraliav3Goul,88,Malurus melanotus,Gould,Black-backed Wren,Malurus splendens,Malurus splendens,Splendid Fairywren,manual,high,yes,,,
III,21,birdsAustraliav3Goul,92,Malurus splendens,,Banded Wren,Malurus splendens,Malurus splendens,Splendid Fairywren,exact,high,yes,,,
III,22,birdsAustraliav3Goul,96,Malurus elegans,Gould,Graceful Wren,Malurus elegans,Malurus elegans,Red-winged Fairywren,exact,high,yes,,,
III,23,birdsAustraliav3Goul,100,Malurus pulcherrimus,Gould,Beautiful Wren,Malurus pulcherrimus,,,manual,high,no,,,
III,24,birdsAustraliav3Goul,104,Malurus Lamberti,Vig. & Horsf,Lambert’s Wren,Malurus lamberti,Malurus lamberti,Variegated Fairywren,exact,high,yes,,,
III,25,birdsAustraliav3Goul,108,Malurus leucopterus,Quoy & Gaim,White-winged Wren,Malurus leucopterus,Malurus leucopterus,White-winged Fairywren,exact,high,yes,,,
III,26,birdsAustraliav3Goul,112,Malurus melanocephalus,Vig. & Horsf,Black-headed Wren,Malurus melanocephalus,Malurus melanocephalus,Red-backed Fairywren,exact,high,yes,,,
III,27,birdsAustraliav3Goul,116,Malurus Brownii,Vig. & Horsf,Brown’s Wren,Malurus melanocephalus,Malurus melanocephalus,Red-backed Fairywren,manual,medium,yes,,,
III,28,birdsAustraliav3Goul,120,Amytis textilis,,Textile Wren,Amytornis textilis,,,manual,high,no,,,
III,29,birdsAustraliav3Goul,124,Amytis striatus,Gould,Striated Wren,Amytornis striatus,,,manual,high,no,,,
III,30,birdsAustraliav3Goul,128,Amytis macrourus,Gould,Large-tailed Wren,,,,unresolved,,no,,,
III,31,birdsAustraliav3Goul,132,Stipiturus malachurus,,Emu Wren,Stipiturus malachurus,Stipiturus malachurus,Southern Emuwren,exact,high,yes,,,
